paises,quantidade,valor,ano,derivado_uva
Cuba,0,0,1973,Vinhos de Mesa
Emirados Árabes Unidos,0,0,1973,Vinhos de Mesa
Eslovênia,0,0,1973,Vinhos de Mesa
Eslováquia,0,0,1973,Vinhos de Mesa
Espanha,226805,117135,1973,Vinhos de Mesa
Estados Unidos,0,0,1973,Vinhos de Mesa
França,259060,435641,1973,Vinhos de Mesa
Geórgia,0,0,1973,Vinhos de Mesa
"Geórgia do Sul e Sandwich do Sul, Ilhas",0,0,1973,Vinhos de Mesa
Grécia,0,0,1973,Vinhos de Mesa
Hong Kong,0,0,1973,Vinhos de Mesa
Hungria,0,0,1973,Vinhos de Mesa
Indonésia,0,0,1973,Vinhos de Mesa
Irlanda,0,0,1973,Vinhos de Mesa
Israel,0,0,1973,Vinhos de Mesa
Itália,258754,186334,1973,Vinhos de Mesa
Japão,0,0,1973,Vinhos de Mesa
Iugoslávia,1251,813,1973,Vinhos de Mesa
Líbano,0,0,1973,Vinhos de Mesa
Luxemburgo,0,0,1973,Vinhos de Mesa
Macedônia,0,0,1973,Vinhos de Mesa
Marrocos,0,0,1973,Vinhos de Mesa
México,0,0,1973,Vinhos de Mesa
Moldávia,0,0,1973,Vinhos de Mesa
Montenegro,0,0,1973,Vinhos de Mesa
Noruega,0,0,1973,Vinhos de Mesa
Nova Zelândia,0,0,1973,Vinhos de Mesa
Países Baixos (Holanda),0,0,1973,Vinhos de Mesa
Panamá,0,0,1973,Vinhos de Mesa
Peru,0,0,1973,Vinhos de Mesa
Porto Rico,0,0,1973,Vinhos de Mesa
Portugal,2818320,2238637,1973,Vinhos de Mesa
Reino Unido,0,0,1973,Vinhos de Mesa
Republica Dominicana,0,0,1973,Vinhos de Mesa
Romênia,0,0,1973,Vinhos de Mesa
Rússia,0,0,1973,Vinhos de Mesa
San Marino,0,0,1973,Vinhos de Mesa
Sérvia,0,0,1973,Vinhos de Mesa
Síria,0,0,1973,Vinhos de Mesa
Suazilândia,0,0,1973,Vinhos de Mesa
Suíça,0,0,1973,Vinhos de Mesa
"Tcheca, República",0,0,1973,Vinhos de Mesa
Tunísia,0,0,1973,Vinhos de Mesa
Turquia,0,0,1973,Vinhos de Mesa
Ucrânia,0,0,1973,Vinhos de Mesa
Uruguai,0,0,1973,Vinhos de Mesa
