cultivar,quantidade,ano,classificacao_uva
Chardonnay,8315602,2023,Viníferas
Chasselas,0,2023,Viníferas
Chenin Blanc,298406,2023,Viníferas
Clairette(1),0,2023,Viníferas
Colombard,374903,2023,Viníferas
Flora,0,2023,Viníferas
Garganega,400,2023,Viníferas
Gewurztraminer,239070,2023,Viníferas
Gouveio,0,2023,Viníferas
Gros Manseng,4510,2023,Viníferas
Italia (Pirovano 65) (PE),10350,2023,Viníferas
Maccabeo,0,2023,Viníferas
Malvasia,0,2023,Viníferas
Malvasia Amarela,67467,2023,Viníferas
Malvasia Bianca,80786,2023,Viníferas
Malvasia Chianti,0,2023,Viníferas
Malvasia Verde,46510,2023,Viníferas
Malvasia di Candia,6869071,2023,Viníferas
Malvasia Istriana,0,2023,Viníferas
Mistura de uvas viníferas branco,41078,2023,Viníferas
Mistura de uvas viníferas rosado,1100,2023,Viníferas
Moscato Branco,20657082,2023,Viníferas
Moscato Canelli,351555,2023,Viníferas
Moscato Giallo,3111774,2023,Viníferas
Moscato Nazareno,504982,2023,Viníferas
Moscato Bianco R2,1211053,2023,Viníferas
Moscato de Alexandria,404111,2023,Viníferas
Moscato Rosado,900,2023,Viníferas
Muscat à Petits Grains,6000,2023,Viníferas
Muller Thurgau,0,2023,Viníferas
Muscadelle,0,2023,Viníferas
Ora,0,2023,Viníferas
Palomino,0,2023,Viníferas
Petit Manseng,3915,2023,Viníferas
Peverella,45898,2023,Viníferas
Pinot Blanc,1310,2023,Viníferas
Pinot Gris,178683,2023,Viníferas
Prosecco,7856146,2023,Viníferas
Red Veltliner,0,2023,Viníferas
Riesling Italico,4642666,2023,Viníferas
Riesling Renano,126736,2023,Viníferas
Sauvignon Blanc(2),818122,2023,Viníferas
Sauvignon Gris,0,2023,Viníferas
Seara Nova,0,2023,Viníferas
Semillon,112905,2023,Viníferas
Schonburger,12687,2023,Viníferas
Sylvaner,2342,2023,Viníferas
Tocai Friulano,6150,2023,Viníferas
Trebbiano,5954818,2023,Viníferas
Trebbiano Toscano,139845,2023,Viníferas
Verdea,0,2023,Viníferas
Verdelho,2080,2023,Viníferas
Verdiso,0,2023,Viníferas
Vermentino,28218,2023,Viníferas
Vernaccia,800,2023,Viníferas
Viogner,21794,2023,Viníferas
Viognier,974005,2023,Viníferas
Outras(3),0,2023,Viníferas
Total,99557416,2023,Viníferas
TINTAS,0,2022,Uvas de Mesa
Alphonse Lavallee,0,2022,Uvas de Mesa
Moscato de Hamburgo,0,2022,Uvas de Mesa
BRANCAS,0,2022,Uvas de Mesa
Cardinal,0,2022,Uvas de Mesa
Golden Queen,0,2022,Uvas de Mesa
Patrícia,0,2022,Uvas de Mesa
Perlona,0,2022,Uvas de Mesa
Italia,0,2022,Uvas de Mesa
"Rubi (Itália, Itália Ro)",0,2022,Uvas de Mesa
Total,0,2022,Uvas de Mesa
TINTAS,175030,2023,Uvas de Mesa
Alphonse Lavallee,0,2023,Uvas de Mesa
Moscato de Hamburgo,175030,2023,Uvas de Mesa
BRANCAS,13440,2023,Uvas de Mesa
Cardinal,0,2023,Uvas de Mesa
Golden Queen,0,2023,Uvas de Mesa
Patrícia,0,2023,Uvas de Mesa
Perlona,0,2023,Uvas de Mesa
Italia,0,2023,Uvas de Mesa
"Rubi (Itália, Itália Ro)",13440,2023,Uvas de Mesa
Total,188470,2023,Uvas de Mesa
Sem classificação,0,2022,Sem Classificação
Total,0,2022,Sem Classificação
Sem classificação,0,2023,Sem Classificação
Total,0,2023,Sem Classificação
TINTAS,502666358,2023,Americanas e Híbridas
Bacarina,0,2023,Americanas e Híbridas
Bailey,587066,2023,Americanas e Híbridas
Bordo,154310837,2023,Americanas e Híbridas
Bourdin (S),0,2023,Americanas e Híbridas
BRS Carmen,22242535,2023,Americanas e Híbridas
BRS Cora,19508450,2023,Americanas e Híbridas
BRS Magna,13919693,2023,Americanas e Híbridas
BRS Margot,36842,2023,Americanas e Híbridas
BRS Morena,0,2023,Americanas e Híbridas
BRS Núbia,57060,2023,Americanas e Híbridas
BRS Rúbea,3311843,2023,Americanas e Híbridas
BRS Violeta,15657282,2023,Americanas e Híbridas
BRS Vitória,8820,2023,Americanas e Híbridas
Champagnon (Champanheta),0,2023,Americanas e Híbridas
Coleções,0,2023,Americanas e Híbridas
Concord,25091503,2023,Americanas e Híbridas
Concord clone 30,5491777,2023,Americanas e Híbridas
Couderc,23121275,2023,Americanas e Híbridas
Cynthiana(1),1186253,2023,Americanas e Híbridas
Herbemont,1417502,2023,Americanas e Híbridas
IAC 138022,0,2023,Americanas e Híbridas
Isabel,176590596,2023,Americanas e Híbridas
Isabel Precoce,17956434,2023,Americanas e Híbridas
Jacquez,12749029,2023,Americanas e Híbridas
Kyoko,0,2023,Americanas e Híbridas
Landot,0,2023,Americanas e Híbridas
Mistura de uvas americanas tinto,346747,2023,Americanas e Híbridas
Oberlin,0,2023,Americanas e Híbridas
Othello,0,2023,Americanas e Híbridas
Paco,15300,2023,Americanas e Híbridas
Patricia,0,2023,Americanas e Híbridas
Seibel,2600315,2023,Americanas e Híbridas
