paises,quantidade,valor,ano,derivado_uva
Itália,503,3702,2022,Espumantes
Japão,2970,12049,2022,Espumantes
Jordânia,0,0,2022,Espumantes
Letônia,0,0,2022,Espumantes
Líbano,1350,4810,2022,Espumantes
Libéria,1105,3367,2022,Espumantes
Luxemburgo,0,0,2022,Espumantes
Maldivas,3221,10680,2022,Espumantes
Malta,191,822,2022,Espumantes
"Marshall, Ilhas",1154,3438,2022,Espumantes
Montenegro,0,0,2022,Espumantes
México,0,0,2022,Espumantes
Nicarágua,0,0,2022,Espumantes
Nigéria,6705,32586,2022,Espumantes
Noruega,483,9852,2022,Espumantes
Nova Zelândia,0,0,2022,Espumantes
Países Baixos (Holanda),707,6038,2022,Espumantes
Panamá,3092,32540,2022,Espumantes
Paraguai,48160,183187,2022,Espumantes
Peru,0,0,2022,Espumantes
Polônia,0,0,2022,Espumantes
Porto Rico,0,0,2022,Espumantes
Portugal,56,612,2022,Espumantes
Quênia,0,0,2022,Espumantes
Reino Unido,9305,53968,2022,Espumantes
Republica Dominicana,0,0,2022,Espumantes
Republica Tcheca,0,0,2022,Espumantes
Rússia,990,5280,2022,Espumantes
Serra Leoa,225,1165,2022,Espumantes
Singapura,642,5235,2022,Espumantes
Suécia,0,0,2022,Espumantes
Suíça,0,0,2022,Espumantes
Suriname,0,0,2022,Espumantes
Tailândia,17,107,2022,Espumantes
Taiwan (Formosa),901,4141,2022,Espumantes
"Tcheca, República",0,0,2022,Espumantes
Trinidade e Tobago,0,0,2022,Espumantes
Turquia,2,17,2022,Espumantes
Uruguai,10200,87895,2022,Espumantes
Vanuatu,0,0,2022,Espumantes
Venezuela,0,0,2022,Espumantes
Vietnã,16,19,2022,Espumantes
Outros(1),0,0,2022,Espumantes
Total,929865,2865784,2022,Espumantes
África do Sul,2,44,2023,Espumantes
Alemanha,162,1542,2023,Espumantes
Angola,56242,315073,2023,Espumantes
Antigua e Barbuda,24,100,2023,Espumantes
Antilhas Holandesas,0,0,2023,Espumantes
Argentina,8593,73239,2023,Espumantes
Aruba,0,0,2023,Espumantes
Australia,10,6,2023,Espumantes
Bahamas,65,268,2023,Espumantes
Bangladesh,0,0,2023,Espumantes
Barbados,32,219,2023,Espumantes
Belgica,0,0,2023,Espumantes
Benin,3,19,2023,Espumantes
Bermudas,0,0,2023,Espumantes
Bolívia,11410,34481,2023,Espumantes
Bósnia-Herzegovina,0,0,2023,Espumantes
Bulgaria,0,0,2023,Espumantes
Cabo Verde,0,0,2023,Espumantes
Camarões,0,0,2023,Espumantes
Canada,4068,15427,2023,Espumantes
Catar,0,0,2023,Espumantes
"Cayman, Ilhas",5,33,2023,Espumantes
Chile,3532,15875,2023,Espumantes
China,16285,47822,2023,Espumantes
Chipre,188,707,2023,Espumantes
Cingapura,0,0,2023,Espumantes
Colombia,1926,6898,2023,Espumantes
"Coreia do Sul, Republica da",74,222,2023,Espumantes
Costa Rica,0,0,2023,Espumantes
Cuba,0,0,2023,Espumantes
Curaçao,1288,6539,2023,Espumantes
Dinamarca,2790,26359,2023,Espumantes
Dominica,0,0,2023,Espumantes
El Salvador,0,0,2023,Espumantes
Emirados Arabes Unidos,126,622,2023,Espumantes
Equador,540,2000,2023,Espumantes
Espanha,45,853,2023,Espumantes
Estados Unidos,255198,729055,2023,Espumantes
Estonia,0,0,2023,Espumantes
Falkland (Malvinas),0,0,2023,Espumantes
Filipinas,20,111,2023,Espumantes
Filânldia,180,1770,2023,Espumantes
França,0,0,2023,Espumantes
Gana,4719,35778,2023,Espumantes
Gibraltar,0,0,2023,Espumantes
Granada,0,0,2023,Espumantes
Grécia,59,320,2023,Espumantes
Guatemala,0,0,2023,Espumantes
Guiana,14084,71163,2023,Espumantes
Guiné Equatorial,0,0,2023,Espumantes
Guiné-Bissau,0,0,2023,Espumantes
Haiti,3969,10646,2023,Espumantes
Honduras,0,0,2023,Espumantes
Hong Kong,1355,5169,2023,Espumantes
Hungria,0,0,2023,Espumantes
Ilha de Man,0,0,2023,Espumantes
Índia,0,0,2023,Espumantes
Iraque,0,0,2023,Espumantes
Irlanda,0,0,2023,Espumantes
Islândia,0,0,2023,Espumantes
Itália,1460,19905,2023,Espumantes
Japão,2311,9708,2023,Espumantes
Jordânia,0,0,2023,Espumantes
Letônia,0,0,2023,Espumantes
Líbano,0,0,2023,Espumantes
Libéria,973,3358,2023,Espumantes
Luxemburgo,18,305,2023,Espumantes
Maldivas,4577,20204,2023,Espumantes
Malta,1472,44498,2023,Espumantes
"Marshall, Ilhas",1375,4886,2023,Espumantes
Montenegro,0,0,2023,Espumantes
México,0,0,2023,Espumantes
Nicarágua,0,0,2023,Espumantes
Nigéria,0,0,2023,Espumantes
Noruega,0,0,2023,Espumantes
Nova Zelândia,303,4231,2023,Espumantes
Países Baixos (Holanda),3,49,2023,Espumantes
Panamá,7936,43115,2023,Espumantes
Paraguai,64662,192975,2023,Espumantes
Peru,108,756,2023,Espumantes
Polônia,126,659,2023,Espumantes
Porto Rico,0,0,2023,Espumantes
Portugal,2191,38616,2023,Espumantes
Quênia,0,0,2023,Espumantes
Reino Unido,16057,86879,2023,Espumantes
Republica Dominicana,0,0,2023,Espumantes
Republica Tcheca,0,0,2023,Espumantes
Rússia,0,0,2023,Espumantes
Serra Leoa,271,1287,2023,Espumantes
Singapura,209,599,2023,Espumantes
Suécia,0,0,2023,Espumantes
Suíça,444,4474,2023,Espumantes
Suriname,0,0,2023,Espumantes
Tailândia,7,43,2023,Espumantes
Taiwan (Formosa),1099,3664,2023,Espumantes
"Tcheca, República",167,1236,2023,Espumantes
Trinidade e Tobago,0,0,2023,Espumantes
Turquia,6930,26566,2023,Espumantes
Uruguai,2812,14352,2023,Espumantes
Vanuatu,0,0,2023,Espumantes
Venezuela,0,0,2023,Espumantes
Vietnã,0,0,2023,Espumantes
Outros(1),0,0,2023,Espumantes
Total,502505,1924725,2023,Espumantes
Afeganistão,0,0,2023,Vinhos de Mesa
África do Sul,117,698,2023,Vinhos de Mesa
"Alemanha, República Democrática",4806,31853,2023,Vinhos de Mesa
Angola,0,0,2023,Vinhos de Mesa
Anguilla,0,0,2023,Vinhos de Mesa
Antígua e Barbuda,383,1848,2023,Vinhos de Mesa
Antilhas Holandesas,0,0,2023,Vinhos de Mesa
Arábia Saudita,124,142,2023,Vinhos de Mesa
Argentina,4545,36133,2023,Vinhos de Mesa
Aruba,0,0,2023,Vinhos de Mesa
Austrália,2485,13565,2023,Vinhos de Mesa
Áustria,0,0,2023,Vinhos de Mesa
Bahamas,1348,7402,2023,Vinhos de Mesa
Bangladesh,0,0,2023,Vinhos de Mesa
Barbados,58,303,2023,Vinhos de Mesa
Barein,283,1684,2023,Vinhos de Mesa
Bélgica,95,683,2023,Vinhos de Mesa
Belice,0,0,2023,Vinhos de Mesa
Benin,0,0,2023,Vinhos de Mesa
Bermudas,16,153,2023,Vinhos de Mesa
Bolívia,21926,36950,2023,Vinhos de Mesa
Bósnia-Herzegovina,0,0,2023,Vinhos de Mesa
Brasil,0,0,2023,Vinhos de Mesa
Bulgária,0,0,2023,Vinhos de Mesa
Cabo Verde,0,0,2023,Vinhos de Mesa
Camarões,0,0,2023,Vinhos de Mesa
Canadá,11539,42179,2023,Vinhos de Mesa
Catar,5,18,2023,Vinhos de Mesa
"Cayman, Ilhas",438,2632,2023,Vinhos de Mesa
Chile,9,63,2023,Vinhos de Mesa
China,73917,183096,2023,Vinhos de Mesa
Chipre,524,2995,2023,Vinhos de Mesa
Cingapura,0,0,2023,Vinhos de Mesa
"Cocos (Keeling), Ilhas",0,0,2023,Vinhos de Mesa
Colômbia,450,1259,2023,Vinhos de Mesa
Comores,0,0,2023,Vinhos de Mesa
Congo,17100,26600,2023,Vinhos de Mesa
"Coreia, Republica Sul",25,171,2023,Vinhos de Mesa
Costa do Marfim,0,0,2023,Vinhos de Mesa
Costa Rica,0,0,2023,Vinhos de Mesa
Croácia,0,0,2023,Vinhos de Mesa
